Date,DHT11#1 Humidity,DHT11#1 Temperature,DHT11#2 Humidity,DHT11#2 Temperature,DHT22#3 Humidity,DHT22#3 Temperature
2016-08-23T23:19:53.582-0600,20,21,17,21,45.1,24.4
2016-08-23T23:19:59.383-0600,20,21,17,21,45,24.4
2016-08-23T23:20:05.184-0600,20,21,17,21,45,24.4
2016-08-23T23:20:10.985-0600,20,21,17,21,45,24.4
2016-08-23T23:20:16.791-0600,20,21,17,21,45,24.4
2016-08-23T23:20:22.597-0600,20,21,17,21,45,24.4
2016-08-23T23:20:28.398-0600,20,21,17,21,45.1,24.4
2016-08-23T23:20:34.199-0600,20,21,17,21,45.1,24.4
2016-08-23T23:20:40.000-0600,20,21,17,21,45.1,24.4
2016-08-23T23:20:45.801-0600,20,21,17,21,45.1,24.4
2016-08-23T23:20:51.602-0600,20,21,17,21,45.1,24.4
2016-08-23T23:20:57.403-0600,20,21,17,21,45.3,24.4
2016-08-23T23:21:03.204-0600,20,21,17,21,45.2,24.4
2016-08-23T23:21:09.019-0600,20,21,17,21,45.2,24.4
2016-08-23T23:21:14.825-0600,20,21,17,21,45.1,24.4
2016-08-23T23:21:20.626-0600,20,21,17,21,45.1,24.4
2016-08-23T23:21:26.427-0600,20,21,17,21,45.2,24.4
2016-08-23T23:21:32.228-0600,20,21,17,21,45.3,24.4
2016-08-23T23:21:38.029-0600,20,21,17,21,45.3,24.4
2016-08-23T23:21:43.830-0600,20,21,17,21,45.3,24.4
2016-08-23T23:21:49.631-0600,20,21,17,21,45.1,24.4
2016-08-23T23:21:55.986-0600,ERROR,ERROR,17,21,45.1,24.4
2016-08-23T23:22:01.787-0600,20,21,17,21,45.1,24.4
2016-08-23T23:22:07.593-0600,20,21,17,21,45.1,24.4
2016-08-23T23:22:13.398-0600,20,21,17,21,45.1,24.4
2016-08-23T23:22:19.199-0600,20,21,17,21,45.1,24.4
2016-08-23T23:22:25.000-0600,20,21,17,21,45.1,24.4
2016-08-23T23:22:30.801-0600,20,21,17,21,45.1,24.4
2016-08-23T23:22:36.603-0600,20,21,17,21,45,24.5
2016-08-23T23:22:42.404-0600,20,21,17,21,44.8,24.4
2016-08-23T23:22:48.205-0600,20,21,17,21,44.8,24.4
2016-08-23T23:22:54.006-0600,20,21,17,21,44.9,24.5
2016-08-23T23:22:59.821-0600,20,21,17,21,45.3,24.5
2016-08-23T23:23:05.626-0600,20,21,17,21,45.2,24.5
2016-08-23T23:23:11.427-0600,20,21,17,21,45.2,24.5
2016-08-23T23:23:17.228-0600,20,21,17,21,45.2,24.5
2016-08-23T23:23:23.029-0600,20,21,17,21,45.2,24.5
2016-08-23T23:23:28.830-0600,20,21,17,21,45.2,24.5
